ZTFID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V
ZTF20aaurern,AT2020heb,18:51:49.75,+32:30:39.9,953.93,g,17.0293,-,4.14,2.46,1.68,CV,-,14.11063907,0.302
ZTF20aavtaib,AT2020ish,16:38:47.77,+40:50:56.8,963.00,g,16.691,-,8.92,1.726,7.194,CV,-,41.79651638,0.021
ZTF20abbvqww,AT2020lbg,20:34:29.10,+08:41:36.1,1473.78,g,17.8714,-,>8.362,>0.03,>8.332,CV,-,-18.26726025,0.279
ZTF20abdxzlz,AT2020lhs,20:23:02.31,+21:23:48.6,1004.96,g,16.7016,-,8.701,1.561,7.14,CV,-,-8.98015498,0.593
ZTF20abjtwft,AT2020nun,00:31:35.49,-06:07:06.3,1878.71,g,18.2364,-,>847.617,>841.73,5.887,CV,-,-68.46646784,0.11
ZTF20ablyczu,AT2020plo,00:44:20.16,+41:34:08.0,1047.95,g,15.1118,-,9.666,1.125,8.541,CV,-,-21.28305255,0.17
ZTF20abopngr,AT2020qtj,20:52:57.12,+26:18:08.3,1056.86,r,17.2165,-,5.106,1.18,3.926,CV,-,-11.62049693,0.5
ZTF20abqgsah,AT2020qus,19:36:28.26,+50:49:46.0,1066.81,g,16.5105,-,12.787,0.768,12.019,CV,-,14.10881903,0.223
ZTF20abychpb,AT2020aben,00:53:05.10,+51:37:25.5,1094.98,g,18.2124,-,2.486,0.614,1.872,CV,-,-11.24701917,0.693
ZTF20acggviy,AT2020uth,17:54:10.97,+19:15:24.0,1124.65,g,17.9082,-,>152.333,3.053,>149.28,CV,-,20.98400781,0.243
ZTF20acioiem,AT2020wgx,20:46:37.51,+19:38:46.7,1135.73,g,17.0587,-,12.295,0.824,11.471,CV,-,-14.50388808,0.347
ZTF20aciouqw,AT2020wgv,20:23:37.14,+52:40:39.5,1135.72,g,17.1448,-,3.983,0.872,3.111,CV,-,8.70733549,0.647
ZTF20acmhpvd,AT2020yci,20:13:57.06,+18:41:22.3,1145.69,g,16.8366,-,4.62,0.935,3.685,CV,-,-8.67882871,0.566
ZTF20acmyxdb,AT2020yfz,19:41:30.42,+55:47:38.6,1149.68,g,17.1407,-,6.554,1.309,5.245,CV,-,15.58537265,0.316
ZTF20acqucpz,-,07:39:18.95,+25:24:40.8,1168.98,g,14.6046,-,5.348,0.403,4.945,CV,-,21.24698436,0.139
ZTF20acutkgr,AT2020abmj,22:09:36.03,+25:54:44.3,1185.60,g,18.0205,-,>1.259,1.209,>0.05,CV,-,-24.19343821,0.233
ZTF20aczdnmp,AT2018jsw,08:36:57.56,-22:05:14.9,1204.90,r,17.5279,-,9.015,1.577,7.438,CV,-,11.24277602,0.247
ZTF21aaeeuqz,AT2021agx,07:33:22.71,+13:18:30.5,1228.87,g,16.6191,-,12.544,0.438,12.106,CV,-,15.22303575,0.158
ZTF21aagnbev,-,08:24:29.33,+03:51:07.9,1248.75,g,16.6332,-,5.426,2.965,2.461,CV,-,22.41670317,0.075
ZTF21aaqmqyp,AT2021hdk,17:46:23.70,+12:09:38.7,1296.00,r,15.6294,-,12.608,0.637,11.971,CV,-,19.85669581,0.348
ZTF21aaqzrat,AT2021hoz,18:03:06.81,+49:08:25.7,1310.97,g,16.6888,-,20.497,6.467,14.03,CV,-,27.82224969,0.141
ZTF21aarucpz,AT2021icr,07:19:27.39,+47:32:19.6,1308.75,g,17.7801,-,13.454,0.706,12.748,CV,-,24.18391778,0.242
ZTF21aaygchh,AT2021maj,16:59:34.06,-17:50:31.7,1336.90,r,18.1435,-,13.422,3.901,9.521,CV,-,14.92737152,0.93
ZTF21abdiymf,AT2021pif,18:45:26.65,-25:27:25.4,1368.94,g,17.8752,-,6.944,2.771,4.173,CV,-,-10.07770529,0.929
ZTF21abezcph,AT2021qdq,19:38:23.19,+36:04:22.1,1373.93,g,17.3908,-,7.996,0.664,7.332,CV,-,7.01675182,0.514
ZTF21abgjdtt,AT2021qct,19:53:31.12,+67:05:06.6,1379.93,g,16.633,-,12.236,0.397,11.839,CV,-,19.10371385,0.518
ZTF21ablimml,AT2021tgr,19:23:39.50,-18:21:41.2,1408.86,g,18.3304,-,15.888,0.891,14.997,CV,-,-15.18870061,0.274
ZTF21abmemav,-,15:35:22.72,-10:03:00.2,1411.69,g,15.0381,-,9.232,0.299,8.933,CV,-,35.587944,0.435
ZTF21abrthyb,AT2021vuv,18:58:05.36,+28:44:00.7,1438.72,g,18.3343,-,21.202,4.301,16.901,CV,-,11.33611255,0.474
ZTF21acaohjl,AT2021yuk,02:52:14.64,+00:20:10.7,1469.94,g,16.6984,-,4.697,0.549,4.148,CV,-,-50.03992176,0.25
ZTF21accyuff,AT2021zdj,19:36:44.52,-05:23:57.6,1475.73,g,16.9456,-,14.123,1.146,12.977,CV,-,-12.52789553,0.889
ZTF21aceejop,-,07:45:50.45,+56:15:28.1,1487.97,g,15.6651,-,6.889,0.797,6.092,CV,-,29.69754138,0.169
ZTF21acgmvhs,AT2021abtn,19:50:45.05,+04:19:20.1,1498.64,g,17.3813,-,16.729,5.069,11.66,CV,-,-11.11342553,0.476
ZTF21acgrero,AT2021aaxp,00:44:40.34,+41:13:06.7,1498.85,g,16.5229,-,4.483,1.506,2.977,CV,-,-21.63509902,0.17
ZTF21acjjtmh,AT2021acww,07:46:37.98,+65:37:51.6,1518.87,g,18.7973,-,8.838,3.839,4.999,CV,-,30.19514266,0.108
ZTF21ackbmei,AT2021adxi,19:26:35.20,+36:41:57.3,1520.70,r,17.037,-,8.266,0.618,7.648,CV,-,9.40983414,0.316
ZTF22aajjqti,AT2022jsu,21:46:49.80,+26:33:23.6,1707.97,r,14.2212,-,>8.117,>0.04,>8.077,CV,-,-20.34216765,0.233
ZTF22aakhqrd,AT2022kmi,17:40:15.67,+10:19:38.9,1718.83,r,16.2518,-,>2.857,>0,>2.857,CV,-,20.44574696,0.441
ZTF22aakzsrj,AT2022koy,20:08:29.22,-04:14:10.4,1725.92,r,16.2486,-,12.336,0.58,11.756,CV,-,-19.05525641,0.795
